file,IOU,dice_coeffecient,pixel_accuracy,MSE_overlap,SSIM_overlap,XOR_overlap
ISIC_0032812,0.007350412897043488,6.169821449199741e-05,0.34403333333333336,39494.00584814815,0.2614694459325383,0.6522259259259259
ISIC_0032813,0.14758105735683016,0.0010268703408812144,0.1070037037037037,56669.39145925926,0.06716433798763904,0.8524
ISIC_0032814,0.0028540669485880694,2.260566064452787e-05,0.04364814814814815,61517.147833333336,0.020580098815427505,0.9536703703703704
ISIC_0032815,0.028190977109415514,0.00021696978532534508,0.012637037037037037,63725.28865925926,-0.001592293820490335,0.9717370370370371
ISIC_0032816,0.26487995649991636,0.001981892104905005,0.7382481481481481,11757.423337037037,0.5999460209935791,0.2603740740740741
ISIC_0032817,0.03308093374398702,0.00025515515682870185,0.19324814814814814,51522.970662962965,0.1562678277141773,0.7988148148148149
ISIC_0032818,0.7360655470139875,0.0034075776175389676,0.8438296296296296,8754.462911111112,0.7978430083845369,0.11978518518518519
ISIC_0032819,0.140083887993295,0.0009993163146663263,0.10972222222222222,55068.3252037037,0.050001718894702375,0.8436
ISIC_0032820,0.14472962962962962,0.0010035921752940657,0.11772222222222223,56452.88798518518,0.08154240717369672,0.8552703703703703
ISIC_0032821,0.015893671449227004,0.0001235252587471666,0.006974074074074074,64278.99824814815,-0.003271760960311245,0.9831222222222222
ISIC_0032822,0.054286322059136354,0.0004169682324778713,0.2399148148148148,47831.013596296296,0.1846823349035705,0.7409666666666667
ISIC_0032823,0.8863680395497211,0.0037414040005127806,0.901325925925926,4949.372066666667,0.8535033667502118,0.0629962962962963
ISIC_0032824,0.1456732788221635,0.0013443025718021878,0.7433814814814815,10658.010848148147,0.569329626711303,0.2561777777777778
ISIC_0032825,0.005049359629941847,4.171735944528922e-05,0.13475555555555555,53169.034770370374,0.06112680443611814,0.8611592592592593
ISIC_0032826,0.783459938506059,0.0035509962315111413,0.8452,8091.704759259259,0.793615024995901,0.10642222222222222
ISIC_0032827,0.2529538516111746,0.0016377767972221785,0.19998518518518518,49507.72764074074,0.14210765517631882,0.7331925925925926
ISIC_0032828,0.06571549214392071,0.0004908282657823163,0.03805185185185185,61697.276596296295,0.011960559480207123,0.9342222222222222
ISIC_0032829,0.052991858233999836,0.0003992055625134536,0.03072962962962963,62288.94919259259,0.005834348023797988,0.9468888888888889
ISIC_0032830,0.7369996028322171,0.003391534235558686,0.8195148148148148,10305.031692592593,0.7678751837333805,0.14224814814814815
ISIC_0032831,0.1834857396615945,0.0013664870106790629,0.6545,18738.75151111111,0.5748029994642524,0.3336851851851852
ISIC_0032832,0.059702639363786544,0.0004566379108198502,0.06993703703703703,58505.47037037037,0.02271748150286262,0.9064814814814814
ISIC_0032833,0.2001185595020501,0.0015026502246834874,0.748337037037037,13158.519866666667,0.6812139863374274,0.23988148148148147
ISIC_0032834,0.7285642328914532,0.003556939266140884,0.884974074074074,4421.003914814814,0.7886572689165644,0.08781851851851852
ISIC_0032835,0.06650713539853811,0.0005315753349461889,0.5838222222222222,25017.64261111111,0.5340098436768016,0.39732222222222224
ISIC_0032836,0.13518213639464863,0.0009447693468487931,0.1111074074074074,56882.933966666664,0.07816746046992361,0.8638185185185185
ISIC_0032837,0.24277700070688385,0.00160575916636608,0.18058888888888888,50258.703696296296,0.108923584129139,0.7458814814814815
ISIC_0032838,0.009309420356845706,7.451640233107582e-05,0.20071851851851852,50514.37398148148,0.15075039703468673,0.7938
ISIC_0032839,0.013835541581860948,0.00011074172551075422,0.0680888888888889,58732.617385185185,0.029638143211206856,0.9223851851851852
ISIC_0032840,0.3524431116599047,0.0024198191946716227,0.6917518518518518,13262.075474074074,0.5455352810274016,0.28552222222222223
ISIC_0032841,0.02947736585871909,0.000226629140496736,0.015277777777777777,63617.507985185184,-0.0002575676552246418,0.9701703703703703
ISIC_0032842,0.050910048831888544,0.0004039153313580341,0.26464814814814813,44748.08501481482,0.18505802150122444,0.7205666666666667
