,IOU,dice_coeffecient,pixel_accuracy
count,10015.0,10015.0,10015.0
mean,0.3258292763427043,0.0017063404447446593,0.46964986150404026
std,0.31441426174439424,0.0013967891848267332,0.34431468534211185
min,0.0,0.0,0.0025481481481481
25%,0.0380050949636689,0.00030107517565309996,0.1171722222222222
50%,0.2030194995555387,0.0014553305485666,0.4603666666666666
75%,0.6194547725164316,0.0031939755012412004,0.8155222222222223
max,0.9850237496507404,0.0039039329649869,0.9837111111111112
