file,IOU,dice_coeffecient,pixel_accuracy,MSE_overlap,SSIM_overlap,XOR_overlap
ISIC_0026230,0.006685806773127996,5.8299928326852624e-05,0.16076666666666667,48446.15248518519,0.07620637975797376,0.8341962962962963
ISIC_0026231,0.16486442866365397,0.0012595048536865948,0.6495814814814814,18589.19294814815,0.5894523251325641,0.34496666666666664
ISIC_0026232,0.8602814568333563,0.003861446184481252,0.8612703703703704,3781.705207407407,0.7826386173007728,0.07122592592592593
ISIC_0026233,0.7790414195234744,0.0035686861705107003,0.9308851851851851,2943.7976814814815,0.89887679689433,0.06512222222222222
ISIC_0026234,0.000541672510603723,4.971741862190773e-06,0.2342037037037037,41888.493874074076,0.12343159612216437,0.7653888888888889
ISIC_0026235,0.793654963079707,0.0035921400229998414,0.7954703703703704,10778.071303703704,0.7452618111480606,0.13092592592592592
ISIC_0026236,0.028303921991629632,0.0002552537956194013,0.4973074074074074,26930.57896296296,0.4147985986654663,0.5004666666666666
ISIC_0026237,0.03047411979239725,0.0002510523832786979,0.4771962962962963,31155.058222222222,0.4350411044218851,0.5119814814814815
ISIC_0026238,0.5214739605720193,0.003121782643666704,0.6109222222222223,15068.108862962963,0.45657397308174213,0.3051259259259259
ISIC_0026239,0.8670517824616185,0.0037469297167078783,0.922762962962963,3652.7303851851852,0.8867047370017209,0.04730740740740741
ISIC_0026240,0.04489493624718081,0.00034242244506316844,0.024774074074074073,62485.931333333334,0.004226078471762935,0.9504851851851852
ISIC_0026241,0.004846279617786944,4.047093963060281e-05,0.05564814814814815,57068.70805555556,0.004609822275934547,0.9400185185185185
ISIC_0026242,0.017925573020817567,0.0001540761961915206,0.07213703703703704,53953.29170740741,0.00117465353182164,0.9131037037037038
ISIC_0026243,0.5273578576220861,0.003199029873819604,0.7354925925925926,8315.57065925926,0.5950597819655633,0.24525925925925926
ISIC_0026244,0.031058783485855296,0.00024459868681270394,0.05014814814814815,59822.60473333333,0.020983249579933153,0.9278222222222222
ISIC_0026245,0.7201335338474173,0.0034204421278215915,0.7139518518518518,15299.406966666667,0.6504342158097581,0.19437037037037036
ISIC_0026246,0.04359012809483596,0.00034266700215728824,0.07452222222222223,57687.453111111114,0.03132525396387894,0.8976296296296297
ISIC_0026247,0.035775243561664526,0.0003282862015321755,0.5241,24689.788774074073,0.43298936577984765,0.472862962962963
ISIC_0026248,0.3709914917354749,0.002175779017884281,0.5244925925925926,28558.424025925928,0.47250841771530366,0.46356296296296295
ISIC_0026249,0.5416985957364305,0.002919713695581095,0.49367777777777777,25725.095711111113,0.37815751158366984,0.3677037037037037
ISIC_0026250,0.5841718011604953,0.0034605005387099556,0.8647444444444444,2965.0273,0.7662735939041828,0.12872962962962964
ISIC_0026251,0.004757544851884474,4.029115833841226e-05,0.36184074074074074,37941.84593333333,0.2982200771157372,0.6361
ISIC_0026252,0.5601349847956686,0.003279679212171747,0.7452,8544.53825925926,0.6180384772648763,0.21965555555555555
ISIC_0026253,0.7670114924207405,0.003598015662957752,0.8498481481481481,6128.450851851851,0.7861461152385675,0.10827407407407408
ISIC_0026254,0.44148058519414807,0.0028977672154680435,0.6227592592592592,12626.385414814815,0.45205359264166944,0.3385
ISIC_0026255,0.0011753813951616149,1.0192950991436404e-05,0.07991111111111111,53534.70087037037,0.0058072220835700085,0.9190296296296296
ISIC_0026256,0.7334894168261175,0.003577276175858266,0.9116851851851852,2839.139366666667,0.8563612981069734,0.08305555555555555
ISIC_0026257,0.008647349196531725,6.990437659887001e-05,0.048762962962962966,59586.74653333333,0.01444768492588695,0.9438888888888889
ISIC_0026258,0.030226182636758064,0.00024396455366926156,0.21522962962962963,47952.6003037037,0.16131849293147316,0.769062962962963
ISIC_0026259,0.0430799489965711,0.0003306467033087271,0.025937037037037036,62176.34421851852,0.004432533713554243,0.9478222222222222
ISIC_0026260,0.022303329175113053,0.00018615005748506553,0.24563703703703704,44727.044485185186,0.17577768339674435,0.7431074074074074
ISIC_0026261,0.009127112349507556,7.748929276110346e-05,0.11851481481481481,52296.9818,0.044803537973117646,0.8745407407407407
ISIC_0026262,0.013701412530412014,0.00011925019184081579,0.1630925925925926,48155.599374074074,0.07258994639418984,0.8272962962962963
ISIC_0026263,0.3170886848021191,0.0020046452893748385,0.3313259259259259,38773.59323333333,0.25571450639457727,0.5805555555555556
ISIC_0026264,0.5467732363210347,0.0032113593212307247,0.7350481481481481,9766.975244444444,0.6126265209289306,0.2177888888888889
ISIC_0026265,0.7194544284700035,0.003500918954450901,0.6880777777777778,14468.466255555555,0.5899483597101038,0.18732962962962962
ISIC_0026266,0.0742082027631605,0.0005909574369782405,0.2724,42572.164296296294,0.2013438137592286,0.6959074074074074
ISIC_0026267,0.7246809618890528,0.003533508476424426,0.7624444444444445,9774.59077037037,0.669886787203477,0.1761888888888889
ISIC_0026268,0.6673377168843959,0.003287734297240045,0.6142037037037037,20000.491377777777,0.5311466544341028,0.2552111111111111
ISIC_0026269,0.19450535276667097,0.0018207369624695696,0.5808851851851852,14422.347466666666,0.3896806022070713,0.41633333333333333
ISIC_0026270,0.8935954771749219,0.003863326407334751,0.9502925925925926,1712.5984407407407,0.9184314729775808,0.028022222222222223
ISIC_0026271,0.0025351442788748447,2.2920241150956338e-05,0.17463703703703704,45931.061144444444,0.07044528731789283,0.8233407407407407
ISIC_0026272,0.8849679936655124,0.0037850121272172098,0.9289962962962963,3247.943911111111,0.8919469034219997,0.04465925925925926
ISIC_0026273,0.312821705877221,0.0021868121424284143,0.7122222222222222,12688.137692592592,0.6297312383539158,0.26255555555555554
ISIC_0026274,0.9207304160329592,0.0038594008150210747,0.9487740740740741,1582.272585185185,0.9165655484595403,0.0305
ISIC_0026275,0.012733045672881218,0.00010272609033826965,0.3245074074074074,41932.91402962963,0.28381617251876295,0.6737
ISIC_0026276,0.5713465338476078,0.003033953154519507,0.5107111111111111,24452.583314814816,0.397298309205269,0.3511037037037037
ISIC_0026277,0.2804056579094884,0.0019264306757263605,0.3501037037037037,34673.632933333334,0.22297088259554057,0.5705370370370371
ISIC_0026278,0.0038772579843735938,3.170464198668773e-05,0.053485185185185184,58703.980781481485,0.011740734505894903,0.9429703703703703
ISIC_0026279,0.034480031633056546,0.0002674120910131619,0.03333333333333333,61510.27504814815,0.009033594435081426,0.9495888888888889
