,IOU,dice_coeffecient,pixel_accuracy,MSE_overlap,SSIM_overlap,XOR_overlap
count,10015.0,10015.0,10015.0,10015.0,10015.0,10015.0
mean,0.3258292763427043,0.0017063404447446593,0.46964986150404026,31922.519952485345,0.4040734094691033,0.5033117956398735
std,0.31441426174439424,0.0013967891848267332,0.34431468534211185,22709.656251075776,0.33933921634261566,0.34534218494421826
min,0.0,0.0,0.0025481481481481,429.1757037037037,-0.0073605000983429,0.0083037037037037
25%,0.0380050949636689,0.00030107517565309996,0.1171722222222222,8977.67332962963,0.059640569906473706,0.15793333333333331
50%,0.2030194995555387,0.0014553305485666,0.4603666666666666,29973.095262962965,0.342292023625608,0.4737666666666666
75%,0.6194547725164316,0.0031939755012412004,0.8155222222222223,55146.02213888889,0.7416455630253229,0.8574444444444445
max,0.9850237496507404,0.0039039329649869,0.9837111111111112,64708.96416296296,0.9715691622036297,0.992625925925926
