,IOU,dice_coeffecient,pixel_accuracy,MSE_overlap,SSIM_overlap,XOR_overlap
count,10015.0,10015.0,10015.0,10015.0,10015.0,10015.0
mean,0.3866571042584294,0.0020540712027839907,0.5387206416301472,25028.601851660285,0.46062787504968744,0.42440223627521684
std,0.32327217753205173,0.0014382402271328604,0.3094009161323532,20086.812916151583,0.3109371729345803,0.3110616570820423
min,0.0,0.0,0.0033851851851851,370.02196296296296,-0.0072100321231458,0.0127592592592592
25%,0.05324227360498225,0.00044413293710905,0.24037407407407402,6738.508333333333,0.15440962648988585,0.13485740740740737
50%,0.3332279264168064,0.0022803563137561,0.6056592592592592,18442.247685185182,0.4975832780940637,0.3566962962962963
75%,0.7033190112708625,0.00349618356974225,0.8265018518518519,43849.9921962963,0.7502533492339156,0.7162796296296297
max,0.972913084066231,0.0039261133136133,0.9744333333333334,64465.84029629629,0.9630557108287788,0.9877888888888888
